,P,Q,W,E,R,Historia,PD,QD,WD,ED,RD
Aurelion Sol,Creador cósmico,El aliento de los dioses,Vuelo astral,Singularidad,Estrella fugaz / Ocaso celeste,"Aurelion Sol solía agraciar al vasto vacío del cosmos con las maravillas celestiales que él mismo ideaba. Ahora, se ve forzado a hacer uso de su increíble poder para satisfacer los deseos de un imperio espacial que lo ha engañado para convertirlo en su...<!-- --> <button data-testid=""overview:seemorebutton","Las habilidades de daño de Aurelion Sol cosechan acumulaciones de polvo estelar de sus enemigos, lo que mejora permanentemente cada habilidad. ","Aurelion Sol canaliza su aliento de dragón durante unos segundos, lo que inflige daño al primer enemigo golpeado y daño reducido a los enemigos cercanos. Cada segundo que el aliento se canalice directamente a un enemigo, infligirá daño adicional, que mejora según la cantidad de polvo estelar conseguido. Esta habilidad otorga polvo estelar si el objetivo es un campeón.","Aurelion Sol sobrevuela el terreno en la dirección indicada. En este estado, puede lanzar otras habilidades. El aliento de los dioses ya no tiene enfriamiento, la puede canalizar sin límite de tiempo e inflige daño adicional mientras vuela. El enfriamiento restante de Vuelo astral se reduce cada vez que muere un campeón tras recibir daño de Aurelion Sol. El polvo estelar aumenta el alcance máximo de Vuelo astral.","Aurelion Sol invoca un agujero negro, lo que inflige daño a los enemigos y los atrae lentamente hacia su centro. Esta habilidad otorga polvo estelar cada vez que muere un enemigo en el agujero negro y por cada segundo que haya un campeón enemigo en su interior. El centro del agujero negro ejecuta a los enemigos que estén por debajo de cierto porcentaje de su vida máxima. El polvo estelar aumenta la zona de Singularidad y el umbral de ejecución.","Estrella fugaz: Aurelion Sol provoca que una estrella se estampe contra el suelo. Este impacto inflige daño mágico y aturde a los enemigos. Además, otorga polvo estelar por cada campeón golpeado. Al acumular suficiente Polvo estelar, Estrella fugaz se transformará en Ocaso celeste la próxima vez que se utilice. Ocaso celeste: Aurelion Sol lanza una gigantesca estrella con un área de impacto aumentado, potencia el daño infligido y lanza a los enemigos por los aires, en lugar de aturdirlos. Después, emite una enorme onda de choque desde los bordes del área de impacto, lo que inflige daño y ralentiza a los campeones golpeados. El polvo estelar aumenta el área de impacto de Estrella fugaz y Ocaso celeste."
Azir,Legado de Shurima,Arenas conquistadoras,¡Alzaos!,Arenas movedizas,Falange imperial,"Azir, emperador de Shurima en un pasado remoto, fue un hombre orgulloso que estuvo a punto de alcanzar la inmortalidad. Dominado por la arrogancia, fue traicionado y asesinado en la hora de su mayor triunfo, pero ahora, milenios después, ha renacido...<!-- --> <button data-testid=""overview:seemorebutton",Azir puede invocar el Disco solar sobre las ruinas de una torreta aliada o enemiga.,Azir envía a todos los soldados de arena hacia un punto. Los soldados de arena infligen daño mágico a los enemigos que atraviesan y además aplican un efecto de ralentización durante 1 s.,"Azir invoca a un soldado de arena para que ataque a los objetivos cercanos por él. El ataque básico de estos soldados reemplaza el suyo contra todos los enemigos que estén a su alcance. Su ataque inflige daño mágico a todos los enemigos situados en una línea. Además, ¡Alzaos! otorga velocidad de ataque de manera pasiva a Azir y a sus soldados de arena.","Azir se protege con un escudo durante unos instantes, se desliza hacia uno de sus soldados de arena y daña a los enemigos en su movimiento. Si golpea a un campeón enemigo, prepara inmediatamente un nuevo soldado de arena y detiene su deslizamiento.","Azir invoca un muro de soldados que, con una carga hacia delante, infligen daño y derriban al enemigo."
Bardo,Llamada del viajero,Cadenas cósmicas,Santuario del protector,Periplo mágico,Destino maleable,"Bardo, un viajero de más allá de las estrellas, es un agente de la serendipia que lucha para mantener un equilibrio en el que la vida pueda soportar la indiferencia del caos. Muchos habitantes de Runaterra cantan canciones que hablan de su naturaleza...<!-- --> <button data-testid=""overview:seemorebutton","Meeps: Bardo atrae a unos espíritus menores que aumentan la potencia de sus ataques básicos para infligir daño mágico adicional. Cuando Bardo haya recogido suficientes campanas, sus meeps también infligirán daño en área y ralentizarán a los enemigos golpeados.

Campanas: Aparecen campanas antiguas al azar que Bardo puede recoger. Otorgan experiencia, restauran maná y otorgan velocidad de movimiento fuera de combate.","Bardo dispara un proyectil que ralentiza al primer enemigo alcanzado, antes de seguir su trayectoria. A partir de ahí, si golpea un muro, el objetivo inicial queda aturdido. Si golpea a otro enemigo, los dos sufren el efecto.","Hace aparecer un santuario de vida. El santuario, que tarda unos segundos en cargarse a plena potencia, desaparece después de curar y aumentar la velocidad al primer aliado que lo toca.","Bardo abre un portal en un obstáculo del terreno cercano. Tanto sus aliados como sus enemigos pueden atravesarlo para cruzar al otro lado, pero solo funciona en un sentido.","Bardo lanza su energía espiritual a un objetivo, dejando en estasis a todas las unidades y torretas de la zona durante breve tiempo."
Bel'Veth,Muerte en lavanda ,Oleada del Vacío,Arriba y abajo,Vorágine real,Banquete infinito,"Una emperatriz horripilante creada a partir de los materiales de la ciudad que devoró. Bel'Veth representa el mismísimo fin de Runaterra tal y como la conocemos... y marca el comienzo de una monstruosa realidad creada a su imagen y semejanza. Impulsada...<!-- --> <button data-testid=""overview:seemorebutton","Bel'Veth obtiene acumulaciones permanentes de velocidad de ataque tras acabar con súbditos grandes, monstruos gigantes y campeones. También obtiene velocidad de ataque adicional de forma temporal tras usar una habilidad.",Bel'Veth se desliza en la dirección elegida y daña a todos los enemigos a los que atraviesa.,"Bel'Veth golpea el suelo, lo que inflige daño, lanza por los aires y ralentiza a sus enemigos.","Bel'Veth se queda inmóvil y canaliza una tormenta de cortes a su alrededor que selecciona como objetivo al enemigo con menos vida. Además, le otorga robo de vida y reducción de daño.","Bel'Veth consume restos de coral del Vacío, adopta su verdadera forma y aumenta su vida máxima, alcance de ataque, velocidad de ataque y velocidad de movimiento fuera de combate. Consumir restos de coral del Vacío de un monstruo épico del Vacío le otorgará más duración de la definitiva, además de poder invocar rémoras del Vacío."
Blitzcrank,Barrera de maná,Agarre misil,Sobrecarga,Puño de poder,Campo estático,"Blitzcrank es un autómata enorme, casi indestructible, creado originalmente para el tratamiento de residuos tóxicos. Sin embargo, este propósito original le parecía demasiado restrictivo, así que se automodificó para servir mejor a los débiles del...<!-- --> <button data-testid=""overview:seemorebutton","Cuando le queda poca vida, Blitzcrank obtiene un escudo en función de su maná.","Blitzcrank dispara su mano derecha para apresar a un rival que encuentre en su camino, le inflige daño y lo atrae hacia él.",Blitzcrank se sobrecarga para aumentar drásticamente su velocidad de movimiento y su velocidad de ataque. Se ve ralentizado temporalmente cuando termina el efecto.,Blitzcrank carga su puño para que su siguiente ataque cause el doble de daño y lance al objetivo por los aires.,"Los enemigos a los que Blitzcrank ataca quedan marcados y reciben una descarga eléctrica después de 1 s. Además, Blitzcrank puede activar esta habilidad para eliminar los escudos de los enemigos cercanos, infligirles daño y silenciarlos durante un breve periodo."
Brand,Nube de fuego,Abrasar,Pilar de llamas,Incendio,Detonación ígnea,"Brand, antiguo miembro de la tribu Kegan Rodhe del helado Freljord, es una lección sobre la tentación de un poder mayor. En busca de una de las legendarias Runas Geogénicas, Kegan traicionó a sus compañeros y se quedó con la runa. El hombre desapareció...<!-- --> <button data-testid=""overview:seemorebutton","Los hechizos de Brand prenden fuego a sus objetivos, lo que inflige daño durante 4 s. Puede acumularse hasta 3 veces. Si Brand asesina a un enemigo que esté en llamas, recupera maná. Cuando Nube de fuego alcanza el máximo de acumulaciones en un campeón o monstruo gigante, se vuelve inestable. Explota al cabo de 2 s, aplica efectos de hechizo e inflige una gran cantidad de daño en la zona que rodea a la víctima.","Brand lanza una bola de fuego que inflige daño mágico. Si el objetivo está en llamas, Abrasar lo dejará aturdido durante 1,5 s.","Tras un breve retardo, Brand crea un Pilar de llamas en la ubicación del objetivo que inflige daño mágico a las unidades enemigas dentro de la misma. Las unidades que estén en llamas recibirán un 25% de daño adicional.","Brand lanza un ataque poderoso a su objetivo que se extiende a los enemigos cercanos e inflige daño mágico. Si el objetivo está en llamas, se duplica la propagación de Incendio.","Brand libera un torrente de fuego devastador que rebota hasta 5 veces entre Brand y los enemigos cercanos, e inflige daño mágico a los enemigos cada vez que rebota. Estos rebotes priorizan acumular al máximo Nube de fuego en los campeones. Si un objetivo está en llamas, Detonación ígnea lo ralentizará brevemente."
Braum,Golpes conmocionantes,Mordisco invernal,Detrás de mí,Inquebrantable,Fisura glacial,"Bendecido con bíceps enormes y un corazón aún más grande, Braum es un héroe muy apreciado en Freljord. Todas las tabernas al norte del Fuerte Helado brindan por su fuerza legendaria. Se dice que taló un bosque de robles en una sola noche y convirtió una...<!-- --> <button data-testid=""overview:seemorebutton","Los ataques básicos de Braum aplican Golpes conmocionantes. Cuando se aplique la primera acumulación, los ataques básicos de los aliados también acumulan Golpes conmocionantes. 

Al llegar a 4 acumulaciones, el objetivo queda aturdido y recibe daño mágico. Durante los siguientes segundos no puede recibir acumulaciones, pero recibe daño mágico adicional de los ataques de Braum.","Braum lanza un chorro de gélido hielo desde el escudo que ralentiza y causa daño mágico.

Aplica una acumulación de Golpes conmocionantes.","Braum salta hacia un campeón o súbdito aliado. Al alcanzarlo, ambos obtienen armadura y resistencia mágica durante unos segundos.","Braum alza su escudo en una dirección durante varios segundos e intercepta todos los proyectiles, que lo golpean y son destruidos. Anula por completo el daño del primero y reduce el de los siguientes que llegan desde la misma dirección.",Braum golpea el suelo y lanza por los aires a los enemigos cercanos y situados en una línea delante de él. A lo largo de esta línea se abre una fisura que ralentiza a los enemigos.
Briar,Maldición carmesí,A la yugular,Frenesí sanguinario / Otro mordisquito,Alarido escalofriante,Final sangriento,"La incontrolable sed de sangre que siente Briar, un experimento fallido de la Rosa Negra, la obliga a cargar con una picota especial que calma su enajenada mente. Tras años de confinamiento, esta arma viviente se ha librado de sus cadenas y se ha...<!-- --> <button data-testid=""overview:seemorebutton","Los ataques y habilidades de Briar aplican acumulaciones de sangrado, lo que la cura parte del daño que infligen. Dominada por un hambre insaciable, obtiene curación adicional según la vida que le falte, pero no cuenta con regeneración de vida de forma innata.","Briar se lanza contra una unidad y golpea a los enemigos con una patada voladora (de la muerte), los aturde y destroza su armadura.","Briar se lanza hacia delante y destruye su picota, lo que la hace entrar en Frenesí sanguinario y perseguir sin descanso al enemigo más cercano (priorizando a los campeones). Mientras se encuentra en este estado, obtiene velocidad de ataque y de movimiento adicionales, y sus ataques infligen daño en área en torno a su objetivo.

Briar puede reactivar esta habilidad durante el frenesí para darle un mordisco a su objetivo con su próximo ataque, lo que inflige daño adicional en base a la vida que le falte a la unidad y cura a Briar según el daño que inflija.","Briar se concentra, pone fin a Frenesí sanguinario y canaliza su energía para proferir un poderoso alarido que inflige daño y ralentiza a los enemigos. Mientras canaliza, recibe menos daño y recupera parte de su vida máxima. Al canalizar por completo el alarido, este empuja a los enemigos, inflige daño adicional y aturde a los que choquen contra muros.","Briar lanza la gema hemolítica de su picota, que marca al primer campeón golpeado y lo convierte en su presa. Después, corre directa hacia él, aterroriza a los enemigos cercanos al alcanzar a su objetivo y entra en un estado de hemomanía incontrolable. Perseguirá a su presa hasta la muerte, con los efectos de Frenesí sanguinario y armadura, resistencia mágica, robo de vida y velocidad de movimiento adicionales."
Caitlyn,Disparo a la cabeza,Pacificadora de Piltover,Trampa para yordles,Red de calibre 90,As en la manga,"Reconocida como su mejor pacificadora, Caitlyn es también la mejor arma de Piltover para librar a la ciudad de sus elusivos elementos criminales. A menudo trabaja con Vi, y actúa como un frío y eficiente contrapunto para la naturaleza más impetuosa de...<!-- --> <button data-testid=""overview:seemorebutton","Cada pocos ataques básicos o contra un objetivo atrapado en una de sus trampas o en su red, Caitlyn realiza un tiro a la cabeza que inflige daño adicional, el cual aumenta con su probabilidad de crítico. El alcance de Disparo a la cabeza de Caitlyn se duplica cuando ataca a objetivos atrapados en una trampa o una red.",Caitlyn carga su rifle durante 1 s para liberar un disparo penetrante que provoca daño físico y se ensancha al alcanzar a un objetivo (causa menos daño a los objetivos posteriores).,"Caitlyn pone una trampa que, al activarse, inmoviliza al campeón enemigo y lo revela durante 1,5 s, lo que permite que Caitlyn aseste un Disparo a la cabeza potenciado.",Caitlyn lanza una red pesada para ralentizar a su objetivo. El retroceso empuja hacia atrás a Caitlyn.,"Caitlyn se toma su tiempo para preparar el tiro perfecto, causando una gran cantidad de daño a un solo objetivo a gran distancia. Los campeones enemigos pueden interceptar la bala para sus aliados."
Camille,Defensa adaptable,Protocolo de precisión,Barrido táctico,Tiro de gancho,Ultimátum hextech,"Convertida en un arma viviente diseñada para operar fuera de la ley, Camille es la jefa de espías del clan Ferros, una elegante agente de élite que se asegura de que nada amenace el funcionamiento de Piltover ni de Zaun. Su adaptabilidad y minuciosidad...<!-- --> <button data-testid=""overview:seemorebutton",Los ataques básicos a campeones le otorgan un escudo equivalente a un porcentaje de la vida máxima de Camille que la protege de su tipo de daño (físico o mágico) durante un corto periodo de tiempo.,"El próximo ataque de Camille inflige daño adicional y otorga más velocidad de movimiento. Este hechizo puede lanzarse de nuevo durante un breve periodo de tiempo, de modo que inflige una cantidad adicional de daño considerablemente mayor si Camille deja un tiempo entre los dos ataques.","Tras un breve lapso de tiempo, Camille provoca una explosión en forma de cono que inflige daño. Los enemigos en la mitad exterior se ralentizan y reciben daño adicional al mismo tiempo que curan a Camille.","Camille se desliza hasta un muro, salta y golpea a los enemigos al caer.",Camille se desliza hacia un campeón objetivo y lo ancla en el área. También inflige daño mágico adicional al objetivo con sus ataques básicos.
Cassiopeia,Elegancia serpentina,Explosión perjudicial,Miasma,Colmillo doble,Mirada petrificante,"Cassiopeia es una criatura mortal empeñada en manipular a otros según su siniestra voluntad. La hija más joven y hermosa de la noble familia Du Couteau de Noxus, se aventuró en lo más profundo de las criptas debajo de Shurima en busca de poder ancestral...<!-- --> <button data-testid=""overview:seemorebutton","Cassiopeia obtiene velocidad de movimiento por nivel, pero no puede comprar botas.","Cassiopeia, tras unos instantes, inunda una zona con veneno, lo que aumenta su velocidad de movimiento si alcanza a un campeón enemigo.","Cassiopeia lanza varias nubes de veneno que ralentizan, anclan e infligen un daño leve a los enemigos que las atraviesen. Los enemigos anclados no pueden usar habilidades de movimiento.","Cassiopeia lanza un ataque que inflige más daño a los objetivos envenenados y que la cura un porcentaje del daño infligido. Si el objetivo muere al recibir este ataque, Cassiopeia recupera maná.",Cassiopeia libera con los ojos un remolino de energía mágica que aturde a los enemigos que tenga de cara a ella y ralentiza a los que le estén dando la espalda.
Cho'Gath,Carnívoro,Ruptura,Grito salvaje,Pinchos mortíferos,Festín,"Desde el momento en que Cho'Gath emergió por primera vez a la dura luz solar de Runaterra, a la bestia solo le impulsaba el hambre más pura e insaciable. La perfecta expresión del deseo del Vacío de acabar con la vida, la compleja biología de Cho'Gath...<!-- --> <button data-testid=""overview:seemorebutton",Cho'Gath recupera vida y maná cada vez que elimina a un enemigo. La cantidad aumenta con el nivel de Cho'Gath.,"Resquebraja el suelo de un lugar determinado y lanza por los aires a los enemigos, lo que les inflige daño y les ralentiza.","Cho'Gath lanza un terrible grito a los enemigos en un cono, lo que les inflige daño mágico y los silencia durante unos pocos segundos.",Los ataques de Cho'Gath liberan pinchos mortales que dañan y ralentizan a todas las unidades enemigas frente a él.,"Devora a una unidad enemiga e inflige una gran cantidad de daño verdadero. Si el objetivo muere, Cho'Gath crece y aumenta su vida máxima."
Corki,Municiones hextech,Bomba de fósforo,Valquiria,Cañón de repetición,Andanada de Proyectiles,"El piloto yordle Corki adora dos cosas por encima de todas las demás: volar y su glamuroso bigote. Aunque no necesariamente en ese orden. Tras abandonar la Ciudad de Bandle, se estableció en Piltover y se enamoró de las máquinas maravillosas que allí...<!-- --> <button data-testid=""overview:seemorebutton","Un porcentaje del daño que Corki inflige con ataques básicos se convierte en daño mágico.

En ocasiones, Corki podrá recoger el Paquete dentro de su base, lo que le otorga velocidad de movimiento y un lanzamiento potenciado de Valquiria.","Corki lanza una bomba luminosa a la ubicación seleccionada e inflige daño mágico a los enemigos cercanos. Además, este ataque revela a las unidades de la zona durante un tiempo.","Corki vuela una corta distancia lanzando bombas y dejando tras de sí una estela de fuego, la cual inflige daño a los enemigos que permanezcan dentro.",El cañón de repetición de Corki abre fuego sobre un área cónica. Los enemigos alcanzados sufren daño y pierden armadura y resistencia mágica.,"Corki dispara hacia la zona objetivo un proyectil que explota al impactar e inflige daño a los enemigos cercanos. Corki acumula misiles según pasa el tiempo, hasta un máximo determinado. Cada 3 proyectiles sale uno enorme que inflige daño adicional."
